,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
1508,1508,user-knowledge,1,64,active,ARFF,129.0,5.0,24.0,5.0,6.0,403.0,0.0,0.0,5.0,1.0
43033,43033,dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc,26,26214,active,arff,398.0,,10.0,5.0,57.0,699.0,699.0,7889.0,12.0,45.0
188,188,eucalyptus,1,1,active,ARFF,214.0,27.0,105.0,5.0,20.0,736.0,95.0,448.0,14.0,6.0
2,2,anneal,1,1,active,ARFF,684.0,7.0,8.0,5.0,39.0,898.0,898.0,22175.0,6.0,33.0
1544,1544,volcanoes-e3,1,64,active,ARFF,1170.0,5.0,9.0,5.0,4.0,1277.0,0.0,0.0,3.0,1.0
1530,1530,volcanoes-a4,1,64,active,ARFF,1365.0,5.0,29.0,5.0,4.0,1515.0,0.0,0.0,3.0,1.0
1529,1529,volcanoes-a3,1,64,active,ARFF,1369.0,5.0,29.0,5.0,4.0,1521.0,0.0,0.0,3.0,1.0
1528,1528,volcanoes-a2,1,64,active,ARFF,1471.0,5.0,29.0,5.0,4.0,1623.0,0.0,0.0,3.0,1.0
44669,44669,GesturePhaseSegmentationProcessed_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,598.0,,202.0,5.0,33.0,2000.0,0.0,0.0,32.0,1.0
1527,1527,volcanoes-a1,1,64,active,ARFF,2952.0,5.0,58.0,5.0,4.0,3252.0,0.0,0.0,3.0,1.0
30,30,page-blocks,1,1,active,ARFF,4913.0,5.0,28.0,5.0,11.0,5473.0,0.0,0.0,10.0,1.0
1540,1540,volcanoes-d3,1,64,active,ARFF,8771.0,5.0,58.0,5.0,4.0,9285.0,0.0,0.0,3.0,1.0
4538,4538,GesturePhaseSegmentationProcessed,1,874,active,ARFF,2950.0,5.0,998.0,5.0,33.0,9873.0,0.0,0.0,32.0,1.0
1535,1535,volcanoes-b5,1,64,active,ARFF,9599.0,5.0,26.0,5.0,4.0,9989.0,0.0,0.0,3.0,1.0
1534,1534,volcanoes-b4,1,64,active,ARFF,9805.0,5.0,26.0,5.0,4.0,10190.0,0.0,0.0,3.0,1.0
1533,1533,volcanoes-b3,1,64,active,ARFF,10006.0,5.0,25.0,5.0,4.0,10386.0,0.0,0.0,3.0,1.0
26,26,nursery,1,1,active,ARFF,4320.0,5.0,2.0,5.0,9.0,12960.0,0.0,0.0,0.0,9.0
41671,41671,microaggregation2,1,8569,active,ARFF,11162.0,5.0,743.0,5.0,21.0,20000.0,0.0,0.0,20.0,1.0
1537,1537,volcanoes-c1,1,64,active,ARFF,27895.0,5.0,71.0,5.0,4.0,28626.0,0.0,0.0,3.0,1.0
35,35,dermatology,1,1,active,ARFF,112.0,6.0,20.0,6.0,35.0,366.0,8.0,8.0,1.0,34.0
377,377,synthetic_control,1,2,active,ARFF,100.0,6.0,100.0,6.0,61.0,600.0,0.0,0.0,60.0,1.0
43028,43028,dgf_96f4164d-956d-4c1c-b161-68724eb0ccdc,21,26003,active,arff,398.0,,10.0,6.0,57.0,709.0,709.0,8199.0,12.0,45.0
469,469,analcatdata_dmft,1,2,active,ARFF,155.0,9.0,123.0,6.0,5.0,797.0,0.0,0.0,0.0,5.0
40691,40691,wine-quality-red,1,869,active,ARFF,681.0,6.0,10.0,6.0,12.0,1599.0,0.0,0.0,11.0,1.0
44664,44664,first-order-theorem-proving_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,835.0,,159.0,6.0,52.0,2000.0,0.0,0.0,51.0,1.0
23380,23380,cjs,3,2,active,ARFF,680.0,57.0,274.0,6.0,35.0,2796.0,2795.0,68100.0,32.0,3.0
1475,1475,first-order-theorem-proving,1,64,active,ARFF,2554.0,6.0,486.0,6.0,52.0,6118.0,0.0,0.0,51.0,1.0
182,182,satimage,1,1,active,ARFF,1531.0,6.0,625.0,6.0,37.0,6430.0,0.0,0.0,36.0,1.0
1478,1478,har,1,64,active,ARFF,1944.0,6.0,1406.0,6.0,562.0,10299.0,0.0,0.0,561.0,1.0
452,452,analcatdata_broadwaymult,1,2,active,ARFF,118.0,95.0,21.0,7.0,8.0,285.0,18.0,27.0,3.0,5.0
186,186,braziltourism,1,1,active,ARFF,318.0,7.0,1.0,7.0,9.0,412.0,49.0,96.0,4.0,5.0
44505,44505,steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,673.0,,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
44518,44518,fabert_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,468.0,,122.0,7.0,101.0,2000.0,0.0,0.0,100.0,1.0
40498,40498,wine-quality-white,1,64,active,ARFF,2198.0,7.0,5.0,7.0,12.0,4898.0,0.0,0.0,11.0,1.0
42544,42544,Touch2,1,12712,active,ARFF,47.0,,27.0,8.0,11.0,265.0,0.0,0.0,10.0,1.0
39,39,ecoli,1,1,active,ARFF,143.0,8.0,2.0,8.0,8.0,336.0,0.0,0.0,7.0,1.0
1549,1549,autoUniv-au6-750,1,64,active,ARFF,165.0,8.0,57.0,8.0,41.0,750.0,0.0,0.0,37.0,4.0
1555,1555,autoUniv-au6-1000,1,64,active,ARFF,240.0,8.0,89.0,8.0,41.0,1000.0,0.0,0.0,37.0,4.0
40966,40966,MiceProtein,4,2,active,ARFF,150.0,8.0,105.0,8.0,82.0,1080.0,528.0,1396.0,77.0,5.0
44782,44782,KDDCup99_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,1147.0,,1.0,8.0,42.0,2000.0,0.0,0.0,32.0,10.0
41972,41972,Indian_pines,1,9155,active,ARFF,4050.0,8.0,20.0,8.0,221.0,9144.0,0.0,0.0,220.0,1.0
40672,40672,fars,1,869,active,ARFF,42116.0,10.0,9.0,8.0,30.0,100968.0,0.0,0.0,14.0,16.0
44604,44604,cnae-9_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,120.0,,120.0,9.0,101.0,1080.0,0.0,0.0,100.0,1.0
375,375,JapaneseVowels,1,2,active,ARFF,1614.0,9.0,782.0,9.0,15.0,9961.0,0.0,0.0,14.0,1.0
1514,1514,micro-mass,1,64,active,ARFF,36.0,10.0,36.0,10.0,1301.0,360.0,0.0,0.0,1300.0,1.0
40496,40496,LED-display-domain-7digit,1,64,active,ARFF,57.0,10.0,37.0,10.0,8.0,500.0,0.0,0.0,7.0,1.0
44468,44468,yeast_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,463.0,,5.0,10.0,9.0,1484.0,0.0,0.0,8.0,1.0
1501,1501,semeion,1,64,active,ARFF,162.0,10.0,155.0,10.0,257.0,1593.0,0.0,0.0,256.0,1.0
44699,44699,Fashion-MNIST_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,200.0,,200.0,10.0,101.0,2000.0,0.0,0.0,100.0,1.0
1466,1466,cardiotocography,1,64,active,ARFF,579.0,10.0,53.0,10.0,36.0,2126.0,0.0,0.0,35.0,1.0
42532,42532,Midwest_Survey_nominal,1,11601,active,arff,758.0,,94.0,10.0,28.0,2778.0,355.0,1744.0,0.0,28.0
40677,40677,led24,1,869,active,ARFF,337.0,10.0,296.0,10.0,25.0,3200.0,0.0,0.0,0.0,25.0
1041,1041,gina_prior2,1,2,active,ARFF,383.0,10.0,315.0,10.0,785.0,3468.0,0.0,0.0,784.0,1.0
28,28,optdigits,1,1,active,ARFF,572.0,10.0,554.0,10.0,65.0,5620.0,0.0,0.0,64.0,1.0
41082,41082,USPS,2,2506,active,ARFF,1553.0,10.0,708.0,10.0,257.0,9298.0,0.0,0.0,256.0,1.0
1459,1459,artificial-characters,1,64,active,ARFF,1416.0,10.0,600.0,10.0,8.0,10218.0,0.0,0.0,7.0,1.0
32,32,pendigits,1,1,active,ARFF,1144.0,10.0,1055.0,10.0,17.0,10992.0,0.0,0.0,16.0,1.0
1503,1503,spoken-arabic-digit,1,64,active,ARFF,26496.0,10.0,26124.0,10.0,15.0,263256.0,0.0,0.0,14.0,1.0
307,307,vowel,2,2,active,ARFF,90.0,15.0,90.0,11.0,13.0,990.0,0.0,0.0,10.0,3.0
40499,40499,texture,1,64,active,ARFF,500.0,11.0,500.0,11.0,41.0,5500.0,0.0,0.0,40.0,1.0
279,279,meta_stream_intervals.arff,1,1,active,ARFF,23021.0,11.0,73.0,11.0,75.0,45164.0,0.0,0.0,74.0,1.0
1483,1483,ldpa,1,64,active,ARFF,54480.0,11.0,1381.0,11.0,8.0,164860.0,0.0,0.0,5.0,3.0
5,5,arrhythmia,1,1,active,ARFF,245.0,13.0,2.0,13.0,280.0,452.0,384.0,408.0,206.0,74.0
184,184,kropt,1,1,active,ARFF,4553.0,18.0,27.0,18.0,7.0,28056.0,0.0,0.0,0.0,7.0
42,42,soybean,1,1,active,ARFF,92.0,19.0,8.0,19.0,36.0,683.0,121.0,2337.0,0.0,36.0
44583,44583,micro-mass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,60.0,,11.0,20.0,101.0,571.0,0.0,0.0,100.0,1.0
40985,40985,tamilnadu-electricity,3,4265,active,ARFF,2906.0,20.0,1397.0,20.0,4.0,45781.0,0.0,0.0,2.0,2.0
171,171,primary-tumor,1,1,active,ARFF,84.0,21.0,1.0,21.0,18.0,339.0,207.0,225.0,0.0,18.0
1509,1509,walking-activity,1,64,active,ARFF,21991.0,22.0,911.0,22.0,5.0,149332.0,0.0,0.0,4.0,1.0
43993,43993,isolet,4,26324,active,arff,300.0,,298.0,26.0,614.0,7797.0,0.0,0.0,613.0,1.0
6,6,letter,1,1,active,ARFF,813.0,26.0,734.0,26.0,17.0,20000.0,0.0,0.0,16.0,1.0
183,183,abalone,1,1,active,ARFF,689.0,28.0,1.0,28.0,9.0,4177.0,0.0,0.0,7.0,2.0
1482,1482,leaf,1,64,active,ARFF,16.0,30.0,8.0,30.0,16.0,340.0,0.0,0.0,15.0,1.0
40971,40971,collins,4,2,active,ARFF,80.0,30.0,6.0,30.0,24.0,1000.0,0.0,0.0,20.0,4.0
44479,44479,amazon-commerce-reviews_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,30.0,,30.0,50.0,101.0,1500.0,0.0,0.0,100.0,1.0
1491,1491,one-hundred-plants-margin,1,64,active,ARFF,16.0,100.0,16.0,100.0,65.0,1600.0,0.0,0.0,64.0,1.0
44730,44730,helena_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,123.0,,3.0,100.0,28.0,2000.0,0.0,0.0,27.0,1.0
4552,4552,BachChoralHarmony,1,874,active,ARFF,503.0,102.0,1.0,102.0,17.0,5665.0,0.0,0.0,2.0,15.0
44537,44537,dionis_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,12.0,,4.0,355.0,61.0,2000.0,0.0,0.0,60.0,1.0
45102,45102,dailybike,1,34122,active,ARFF,4.0,,1.0,606.0,13.0,731.0,0.0,0.0,12.0,1.0
516,516,pbcseq,1,2,active,ARFF,,1024.0,,3.0,19.0,1945.0,832.0,1133.0,13.0,6.0
524,524,pbc,2,2,active,ARFF,,3.0,,3.0,20.0,418.0,142.0,1033.0,14.0,6.0
703,703,chscase_foot,1,2,active,ARFF,,297.0,,3.0,6.0,526.0,0.0,0.0,4.0,2.0
1028,1028,SWD,1,2,active,ARFF,,,,4.0,11.0,1000.0,0.0,0.0,11.0,0.0
1097,1097,ICU,1,2,active,ARFF,,,,3.0,20.0,200.0,0.0,0.0,20.0,0.0
1591,1591,connect-4,1,402,active,Sparse_ARFF,,,,3.0,127.0,67557.0,0.0,0.0,127.0,0.0
1593,1593,SensIT-Vehicle-Combined,1,402,active,Sparse_ARFF,,,,3.0,101.0,98528.0,0.0,0.0,101.0,0.0
