,ratio,n_hits,name,automl name,did,automl did,MaxNominalAttDistinctValues,MaxNominalAttDistinctValues,NumberOfClasses,NumberOfClasses,NumberOfFeatures,NumberOfFeatures,NumberOfInstances,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfSymbolicFeatures
15,0.75,1,QSAR-TID-12276,QSAR-TID-11,3040,3050,,,0.0,0.0,1026.0,1026.0,87.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
16,0.75,1,QSAR-TID-12276,QSAR-TID-10980,3040,3277,,,0.0,0.0,1026.0,1026.0,87.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
17,0.75,1,QSAR-TID-12886,QSAR-TID-11,3042,3050,,,0.0,0.0,1026.0,1026.0,81.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
18,0.75,1,QSAR-TID-12886,QSAR-TID-10980,3042,3277,,,0.0,0.0,1026.0,1026.0,81.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
19,0.75,1,QSAR-TID-10113,QSAR-TID-11,3043,3050,,,0.0,0.0,1026.0,1026.0,131.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
20,0.75,1,QSAR-TID-10113,QSAR-TID-10980,3043,3277,,,0.0,0.0,1026.0,1026.0,131.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
21,0.75,1,QSAR-TID-12514,QSAR-TID-11,3044,3050,,,0.0,0.0,1026.0,1026.0,692.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
22,0.75,1,QSAR-TID-12514,QSAR-TID-10980,3044,3277,,,0.0,0.0,1026.0,1026.0,692.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
23,0.75,1,QSAR-TID-17106,QSAR-TID-11,3045,3050,,,0.0,0.0,1026.0,1026.0,127.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
24,0.75,1,QSAR-TID-17106,QSAR-TID-10980,3045,3277,,,0.0,0.0,1026.0,1026.0,127.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
25,0.75,1,QSAR-TID-10878,QSAR-TID-11,3046,3050,,,0.0,0.0,1026.0,1026.0,427.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
26,0.75,1,QSAR-TID-10878,QSAR-TID-10980,3046,3277,,,0.0,0.0,1026.0,1026.0,427.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
27,0.75,1,QSAR-TID-12949,QSAR-TID-11,3047,3050,,,0.0,0.0,1026.0,1026.0,389.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
28,0.75,1,QSAR-TID-12949,QSAR-TID-10980,3047,3277,,,0.0,0.0,1026.0,1026.0,389.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
29,0.75,1,QSAR-TID-12415,QSAR-TID-11,3048,3050,,,0.0,0.0,1026.0,1026.0,395.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
30,0.75,1,QSAR-TID-12415,QSAR-TID-10980,3048,3277,,,0.0,0.0,1026.0,1026.0,395.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
31,0.75,1,QSAR-TID-101506,QSAR-TID-11,3049,3050,,,0.0,0.0,1026.0,1026.0,79.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
32,0.75,1,QSAR-TID-101506,QSAR-TID-10980,3049,3277,,,0.0,0.0,1026.0,1026.0,79.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
33,0.75,1,QSAR-TID-208,QSAR-TID-11,3051,3050,,,0.0,0.0,1026.0,1026.0,22.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
34,0.75,1,QSAR-TID-208,QSAR-TID-10980,3051,3277,,,0.0,0.0,1026.0,1026.0,22.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
35,0.75,1,QSAR-TID-10574,QSAR-TID-11,3052,3050,,,0.0,0.0,1026.0,1026.0,422.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
36,0.75,1,QSAR-TID-10574,QSAR-TID-10980,3052,3277,,,0.0,0.0,1026.0,1026.0,422.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
37,0.75,1,QSAR-TID-18044,QSAR-TID-11,3053,3050,,,0.0,0.0,1026.0,1026.0,113.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
38,0.75,1,QSAR-TID-18044,QSAR-TID-10980,3053,3277,,,0.0,0.0,1026.0,1026.0,113.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
39,0.75,1,QSAR-TID-100140,QSAR-TID-11,3054,3050,,,0.0,0.0,1026.0,1026.0,821.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
40,0.75,1,QSAR-TID-100140,QSAR-TID-10980,3054,3277,,,0.0,0.0,1026.0,1026.0,821.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
41,0.75,1,QSAR-TID-100951,QSAR-TID-11,3056,3050,,,0.0,0.0,1026.0,1026.0,81.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
42,0.75,1,QSAR-TID-100951,QSAR-TID-10980,3056,3277,,,0.0,0.0,1026.0,1026.0,81.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
43,0.75,1,QSAR-TID-10444,QSAR-TID-11,3058,3050,,,0.0,0.0,1026.0,1026.0,44.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
44,0.75,1,QSAR-TID-10444,QSAR-TID-10980,3058,3277,,,0.0,0.0,1026.0,1026.0,44.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
45,0.75,1,QSAR-TID-101557,QSAR-TID-11,3059,3050,,,0.0,0.0,1026.0,1026.0,732.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
46,0.75,1,QSAR-TID-101557,QSAR-TID-10980,3059,3277,,,0.0,0.0,1026.0,1026.0,732.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
47,0.75,1,QSAR-TID-11556,QSAR-TID-11,3060,3050,,,0.0,0.0,1026.0,1026.0,39.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
48,0.75,1,QSAR-TID-11556,QSAR-TID-10980,3060,3277,,,0.0,0.0,1026.0,1026.0,39.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
49,0.75,1,QSAR-TID-17081,QSAR-TID-11,3061,3050,,,0.0,0.0,1026.0,1026.0,440.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
50,0.75,1,QSAR-TID-17081,QSAR-TID-10980,3061,3277,,,0.0,0.0,1026.0,1026.0,440.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
51,0.75,1,QSAR-TID-10781,QSAR-TID-11,3062,3050,,,0.0,0.0,1026.0,1026.0,2044.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
52,0.75,1,QSAR-TID-10781,QSAR-TID-10980,3062,3277,,,0.0,0.0,1026.0,1026.0,2044.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
53,0.75,1,QSAR-TID-226,QSAR-TID-11,3063,3050,,,0.0,0.0,1026.0,1026.0,1431.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
54,0.75,1,QSAR-TID-226,QSAR-TID-10980,3063,3277,,,0.0,0.0,1026.0,1026.0,1431.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
55,0.75,1,QSAR-TID-11156,QSAR-TID-11,3064,3050,,,0.0,0.0,1026.0,1026.0,838.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
56,0.75,1,QSAR-TID-11156,QSAR-TID-10980,3064,3277,,,0.0,0.0,1026.0,1026.0,838.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
57,0.75,1,QSAR-TID-102421,QSAR-TID-11,3065,3050,,,0.0,0.0,1026.0,1026.0,74.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
58,0.75,1,QSAR-TID-102421,QSAR-TID-10980,3065,3277,,,0.0,0.0,1026.0,1026.0,74.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
59,0.75,1,QSAR-TID-12959,QSAR-TID-11,3066,3050,,,0.0,0.0,1026.0,1026.0,72.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
60,0.75,1,QSAR-TID-12959,QSAR-TID-10980,3066,3277,,,0.0,0.0,1026.0,1026.0,72.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
61,0.75,1,QSAR-TID-101386,QSAR-TID-11,3067,3050,,,0.0,0.0,1026.0,1026.0,148.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
62,0.75,1,QSAR-TID-101386,QSAR-TID-10980,3067,3277,,,0.0,0.0,1026.0,1026.0,148.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
63,0.75,1,QSAR-TID-11024,QSAR-TID-11,3068,3050,,,0.0,0.0,1026.0,1026.0,2329.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
64,0.75,1,QSAR-TID-11024,QSAR-TID-10980,3068,3277,,,0.0,0.0,1026.0,1026.0,2329.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
65,0.75,1,QSAR-TID-10475,QSAR-TID-11,3069,3050,,,0.0,0.0,1026.0,1026.0,1030.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
66,0.75,1,QSAR-TID-10475,QSAR-TID-10980,3069,3277,,,0.0,0.0,1026.0,1026.0,1030.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
67,0.75,1,QSAR-TID-65,QSAR-TID-11,3070,3050,,,0.0,0.0,1026.0,1026.0,1515.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
68,0.75,1,QSAR-TID-65,QSAR-TID-10980,3070,3277,,,0.0,0.0,1026.0,1026.0,1515.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
69,0.75,1,QSAR-TID-100975,QSAR-TID-11,3071,3050,,,0.0,0.0,1026.0,1026.0,75.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
70,0.75,1,QSAR-TID-100975,QSAR-TID-10980,3071,3277,,,0.0,0.0,1026.0,1026.0,75.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
71,0.75,1,QSAR-TID-100671,QSAR-TID-11,3072,3050,,,0.0,0.0,1026.0,1026.0,25.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
72,0.75,1,QSAR-TID-100671,QSAR-TID-10980,3072,3277,,,0.0,0.0,1026.0,1026.0,25.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
73,0.75,1,QSAR-TID-191,QSAR-TID-11,3073,3050,,,0.0,0.0,1026.0,1026.0,4442.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
74,0.75,1,QSAR-TID-191,QSAR-TID-10980,3073,3277,,,0.0,0.0,1026.0,1026.0,4442.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
75,0.75,1,QSAR-TID-100835,QSAR-TID-11,3074,3050,,,0.0,0.0,1026.0,1026.0,125.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
76,0.75,1,QSAR-TID-100835,QSAR-TID-10980,3074,3277,,,0.0,0.0,1026.0,1026.0,125.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
77,0.75,1,QSAR-TID-10378,QSAR-TID-11,3075,3050,,,0.0,0.0,1026.0,1026.0,1330.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
78,0.75,1,QSAR-TID-10378,QSAR-TID-10980,3075,3277,,,0.0,0.0,1026.0,1026.0,1330.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
79,0.75,1,QSAR-TID-12507,QSAR-TID-11,3076,3050,,,0.0,0.0,1026.0,1026.0,314.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
80,0.75,1,QSAR-TID-12507,QSAR-TID-10980,3076,3277,,,0.0,0.0,1026.0,1026.0,314.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
81,0.75,1,QSAR-TID-11453,QSAR-TID-11,3077,3050,,,0.0,0.0,1026.0,1026.0,57.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
82,0.75,1,QSAR-TID-11453,QSAR-TID-10980,3077,3277,,,0.0,0.0,1026.0,1026.0,57.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
83,0.75,1,QSAR-TID-100621,QSAR-TID-11,3078,3050,,,0.0,0.0,1026.0,1026.0,24.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
84,0.75,1,QSAR-TID-100621,QSAR-TID-10980,3078,3277,,,0.0,0.0,1026.0,1026.0,24.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
85,0.75,1,QSAR-TID-10849,QSAR-TID-11,3079,3050,,,0.0,0.0,1026.0,1026.0,1580.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
86,0.75,1,QSAR-TID-10849,QSAR-TID-10980,3079,3277,,,0.0,0.0,1026.0,1026.0,1580.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
87,0.75,1,QSAR-TID-101508,QSAR-TID-11,3080,3050,,,0.0,0.0,1026.0,1026.0,532.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
88,0.75,1,QSAR-TID-101508,QSAR-TID-10980,3080,3277,,,0.0,0.0,1026.0,1026.0,532.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
89,0.75,1,QSAR-TID-234,QSAR-TID-11,3081,3050,,,0.0,0.0,1026.0,1026.0,2145.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
90,0.75,1,QSAR-TID-234,QSAR-TID-10980,3081,3277,,,0.0,0.0,1026.0,1026.0,2145.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
91,0.75,1,QSAR-TID-11694,QSAR-TID-11,3082,3050,,,0.0,0.0,1026.0,1026.0,157.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
92,0.75,1,QSAR-TID-11694,QSAR-TID-10980,3082,3277,,,0.0,0.0,1026.0,1026.0,157.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
93,0.75,1,QSAR-TID-103561,QSAR-TID-11,3084,3050,,,0.0,0.0,1026.0,1026.0,47.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
94,0.75,1,QSAR-TID-103561,QSAR-TID-10980,3084,3277,,,0.0,0.0,1026.0,1026.0,47.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
95,0.75,1,QSAR-TID-10250,QSAR-TID-11,3085,3050,,,0.0,0.0,1026.0,1026.0,124.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
96,0.75,1,QSAR-TID-10250,QSAR-TID-10980,3085,3277,,,0.0,0.0,1026.0,1026.0,124.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
97,0.75,1,QSAR-TID-30007,QSAR-TID-11,3086,3050,,,0.0,0.0,1026.0,1026.0,534.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
98,0.75,1,QSAR-TID-30007,QSAR-TID-10980,3086,3277,,,0.0,0.0,1026.0,1026.0,534.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
99,0.75,1,QSAR-TID-11451,QSAR-TID-11,3088,3050,,,0.0,0.0,1026.0,1026.0,2442.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
100,0.75,1,QSAR-TID-11451,QSAR-TID-10980,3088,3277,,,0.0,0.0,1026.0,1026.0,2442.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
101,0.75,1,QSAR-TID-10051,QSAR-TID-11,3089,3050,,,0.0,0.0,1026.0,1026.0,1007.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
102,0.75,1,QSAR-TID-10051,QSAR-TID-10980,3089,3277,,,0.0,0.0,1026.0,1026.0,1007.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
103,0.75,1,QSAR-TID-10981,QSAR-TID-11,3090,3050,,,0.0,0.0,1026.0,1026.0,262.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
104,0.75,1,QSAR-TID-10981,QSAR-TID-10980,3090,3277,,,0.0,0.0,1026.0,1026.0,262.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
105,0.75,1,QSAR-TID-10478,QSAR-TID-11,3091,3050,,,0.0,0.0,1026.0,1026.0,86.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
106,0.75,1,QSAR-TID-10478,QSAR-TID-10980,3091,3277,,,0.0,0.0,1026.0,1026.0,86.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
107,0.75,1,QSAR-TID-10009,QSAR-TID-11,3092,3050,,,0.0,0.0,1026.0,1026.0,714.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
108,0.75,1,QSAR-TID-10009,QSAR-TID-10980,3092,3277,,,0.0,0.0,1026.0,1026.0,714.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
109,0.75,1,QSAR-TID-10659,QSAR-TID-11,3093,3050,,,0.0,0.0,1026.0,1026.0,81.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
110,0.75,1,QSAR-TID-10659,QSAR-TID-10980,3093,3277,,,0.0,0.0,1026.0,1026.0,81.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
111,0.75,1,QSAR-TID-101097,QSAR-TID-11,3094,3050,,,0.0,0.0,1026.0,1026.0,59.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
112,0.75,1,QSAR-TID-101097,QSAR-TID-10980,3094,3277,,,0.0,0.0,1026.0,1026.0,59.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
113,0.75,1,QSAR-TID-52,QSAR-TID-11,3096,3050,,,0.0,0.0,1026.0,1026.0,877.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
114,0.75,1,QSAR-TID-52,QSAR-TID-10980,3096,3277,,,0.0,0.0,1026.0,1026.0,877.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
115,0.75,1,QSAR-TID-20174,QSAR-TID-11,3097,3050,,,0.0,0.0,1026.0,1026.0,1201.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
116,0.75,1,QSAR-TID-20174,QSAR-TID-10980,3097,3277,,,0.0,0.0,1026.0,1026.0,1201.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
117,0.75,1,QSAR-TID-100908,QSAR-TID-11,3098,3050,,,0.0,0.0,1026.0,1026.0,84.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
118,0.75,1,QSAR-TID-100908,QSAR-TID-10980,3098,3277,,,0.0,0.0,1026.0,1026.0,84.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
119,0.75,1,QSAR-TID-10530,QSAR-TID-11,3100,3050,,,0.0,0.0,1026.0,1026.0,90.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
120,0.75,1,QSAR-TID-10530,QSAR-TID-10980,3100,3277,,,0.0,0.0,1026.0,1026.0,90.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
121,0.75,1,QSAR-TID-30049,QSAR-TID-11,3101,3050,,,0.0,0.0,1026.0,1026.0,733.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
122,0.75,1,QSAR-TID-30049,QSAR-TID-10980,3101,3277,,,0.0,0.0,1026.0,1026.0,733.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
123,0.75,1,QSAR-TID-250,QSAR-TID-11,3103,3050,,,0.0,0.0,1026.0,1026.0,2446.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
124,0.75,1,QSAR-TID-250,QSAR-TID-10980,3103,3277,,,0.0,0.0,1026.0,1026.0,2446.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
125,0.75,1,QSAR-TID-10075,QSAR-TID-11,3104,3050,,,0.0,0.0,1026.0,1026.0,161.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
126,0.75,1,QSAR-TID-10075,QSAR-TID-10980,3104,3277,,,0.0,0.0,1026.0,1026.0,161.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
127,0.75,1,QSAR-TID-11300,QSAR-TID-11,3105,3050,,,0.0,0.0,1026.0,1026.0,1616.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
128,0.75,1,QSAR-TID-11300,QSAR-TID-10980,3105,3277,,,0.0,0.0,1026.0,1026.0,1616.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
129,0.75,1,QSAR-TID-19904,QSAR-TID-11,3106,3050,,,0.0,0.0,1026.0,1026.0,584.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
130,0.75,1,QSAR-TID-19904,QSAR-TID-10980,3106,3277,,,0.0,0.0,1026.0,1026.0,584.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
131,0.75,1,QSAR-TID-12078,QSAR-TID-11,3107,3050,,,0.0,0.0,1026.0,1026.0,70.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
132,0.75,1,QSAR-TID-12078,QSAR-TID-10980,3107,3277,,,0.0,0.0,1026.0,1026.0,70.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
133,0.75,1,QSAR-TID-10766,QSAR-TID-11,3110,3050,,,0.0,0.0,1026.0,1026.0,122.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
134,0.75,1,QSAR-TID-10766,QSAR-TID-10980,3110,3277,,,0.0,0.0,1026.0,1026.0,122.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
135,0.75,1,QSAR-TID-102406,QSAR-TID-11,3111,3050,,,0.0,0.0,1026.0,1026.0,23.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
136,0.75,1,QSAR-TID-102406,QSAR-TID-10980,3111,3277,,,0.0,0.0,1026.0,1026.0,23.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
137,0.75,1,QSAR-TID-12407,QSAR-TID-11,3112,3050,,,0.0,0.0,1026.0,1026.0,66.0,5742.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
138,0.75,1,QSAR-TID-12407,QSAR-TID-10980,3112,3277,,,0.0,0.0,1026.0,1026.0,66.0,5766.0,0.0,0.0,0.0,0.0,1025.0,1025.0,1.0,1.0
